idQuestionario;nomPais;faixaIdade;nomMotivoRed;numPernoiteTotal;codIBGECidadeVisitada;nomCidadeVisitada_UF;nomHospedagem;nomAgencia;nomAcompanhante;lng;lat;gpcd
28310;Spain;32-40 years;Other reasons;47;1100015;Alta Floresta DOeste - RO;House of friends and relatives;No;Couple without children;-61,9998239;-11,9355403;26,4042553191489
27725;Argentina;18-24 years;Other reasons;32;1100122;Ji-Parana - RO;House of friends and relatives;No;Alone;-61,94509458;-10,88205132;31,03125
36675;France;25-31 years;Other reasons;59;1100452;Buritis - RO;House of friends and relatives;No;Alone;-63,82967879;-10,20980541;31,7966101694915
35957;Spain;51-59 years;Other reasons;30;1100700;Campo Novo de Rondonia - RO;House of friends and relatives;No;Alone;-63,62499143;-10,56841647;16,5333333333333
42485;Spain;32-40 years;Other reasons;24;1101476;Primavera de Rondonia - RO;House of friends and relatives;No;Couple without children;-61,31654624;-11,82570695;20,6041666666667
37588;Argentina;18-24 years;Other reasons;40;1200203;Cruzeiro do Sul - AC;House of friends and relatives;No;Alone;-72,67253132;-7,630690005;18,625
45032;Spain;51-59 years;Leisure;15;1300805;Borba - AM;Posada;No;Friends;-59,59455902;-4,390619891;82,2666666666667
20143;Bolivia;25-31 years;Other reasons;45;1301902;Itacoatiara - AM;House of friends and relatives;No;Alone;-58,44017544;-3,140378804;15,3777777777778
17912;Germany;Over 60 years;Leisure;14;1302603;Manaus - AM;Posada;No;Couple with children;-60,02333518;-3,134691491;35,9047619047619
20065;Portugal;32-40 years;Other reasons;43;1302603;Manaus - AM;House of friends and relatives;No;Alone;-60,02333518;-3,134691491;42,5581395348837
27958;Venezuela;41-50 years;Business and events;2;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;482
27974;Ireland;51-59 years;Business and events;14;1302603;Manaus - AM;Rented property;No;Alone;-60,02333518;-3,134691491;168,428571428571
43895;Germany;25-31 years;Leisure;19;1302603;Manaus - AM;Camping site;No;Couple without children;-60,02333518;-3,134691491;95,3684210526316
44085;Argentina;32-40 years;Leisure;10;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;171,4
47619;China;25-31 years;Business and events;300;1302603;Manaus - AM;Others;Separate services;Co-workers;-60,02333518;-3,134691491;22,2933333333333
16462;United States;51-59 years;Leisure;7;1302603;Manaus - AM;House of friends and relatives;No;Couple with children;-60,02333518;-3,134691491;21,1428571428571
23769;Portugal;51-59 years;Leisure;29;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;95,5172413793103
28006;Venezuela;32-40 years;Business and events;15;1302603;Manaus - AM;Hotel or flat;No;Friends;-60,02333518;-3,134691491;20,7333333333333
28068;Portugal;41-50 years;Other reasons;6;1302603;Manaus - AM;House of friends and relatives;No;Alone;-60,02333518;-3,134691491;103,333333333333
28929;Italy;51-59 years;Other reasons;60;1302603;Manaus - AM;House of friends and relatives;Separate services;Couple with children;-60,02333518;-3,134691491;21,3722222222222
44737;Spain;41-50 years;Leisure;12;1302603;Manaus - AM;Rented property;No;Friends;-60,02333518;-3,134691491;139,916666666667
16443;Colombia;41-50 years;Business and events;4;1302603;Manaus - AM;Hotel or flat;No;Co-workers;-60,02333518;-3,134691491;60,75
16449;Venezuela;41-50 years;Business and events;3;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;20,3333333333333
20142;Argentina;32-40 years;Business and events;4;1302603;Manaus - AM;Hotel or flat;No;Co-workers;-60,02333518;-3,134691491;125,25
22117;United Kingdom;18-24 years;Business and events;74;1302603;Manaus - AM;Hotel or flat;No;Co-workers;-60,02333518;-3,134691491;99,027027027027
28012;Colombia;51-59 years;Business and events;3;1302603;Manaus - AM;Hotel or flat;No;Co-workers;-60,02333518;-3,134691491;100
28030;Panama;41-50 years;Business and events;4;1302603;Manaus - AM;Hotel or flat;Separate services;Alone;-60,02333518;-3,134691491;206,833333333333
37281;Chile;51-59 years;Business and events;5;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;500
44138;Japan;51-59 years;Business and events;14;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;89,2142857142857
45061;Argentina;32-40 years;Business and events;6;1302603;Manaus - AM;Hotel or flat;Separate services;Alone;-60,02333518;-3,134691491;19
16433;Japan;41-50 years;Business and events;4;1302603;Manaus - AM;Hotel or flat;No;Alone;-60,02333518;-3,134691491;113,75
10033;Canada;41-50 years;Leisure;15;1302603;Manaus - AM;Hostel or bed & breakfast;No;Alone;-60,02333518;-3,134691491;20,5333333333333
16457;United States;25-31 years;Leisure;16;1302603;Manaus - AM;House of friends and relatives;No;Couple without children;-60,02333518;-3,134691491;16,875
18758;United States;32-40 years;Leisure;15;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;17,4666666666667
23391;Chile;32-40 years;Leisure;35;1501402;Belem - PA;Rented property;No;Couple without children;-48,48782569;-1,459845;26,3714285714286
28053;Portugal;25-31 years;Other reasons;15;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;33,0666666666667
28069;Portugal;32-40 years;Business and events;7;1501402;Belem - PA;Hotel or flat;No;Alone;-48,48782569;-1,459845;177,285714285714
18468;United States;Over 60 years;Leisure;7;1501402;Belem - PA;Posada;No;Family group;-48,48782569;-1,459845;71,4285714285714
28926;Netherlands;Over 60 years;Other reasons;28;1501402;Belem - PA;House of friends and relatives;No;Couple with children;-48,48782569;-1,459845;53,0714285714286
43985;Argentina;25-31 years;Other reasons;60;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;34,5333333333333
28061;Suriname;25-31 years;Other reasons;4;1501402;Belem - PA;House of friends and relatives;No;Friends;-48,48782569;-1,459845;124
18682;Japan;32-40 years;Other reasons;41;1501402;Belem - PA;House of friends and relatives;No;Family group;-48,48782569;-1,459845;48,3780487804878
18751;France;51-59 years;Business and events;8;1501402;Belem - PA;Hotel or flat;No;Alone;-48,48782569;-1,459845;38,5
19581;Switzerland;Over 60 years;Other reasons;14;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;57,1428571428571
28016;United States;25-31 years;Other reasons;6;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;66,6666666666667
35432;Chile;32-40 years;Other reasons;37;1501402;Belem - PA;House of friends and relatives;No;Alone;-48,48782569;-1,459845;13,6216216216216
39599;Germany;18-24 years;Leisure;10;1505700;Ponta de Pedras - PA;House of friends and relatives;No;Family group;-48,87178556;-1,396599998;109,8
16413;France;51-59 years;Leisure;43;1506807;Santarem - PA;Hotel or flat;No;Couple with children;-54,71857017;-2,43621333;30,0813953488372
25093;Argentina;51-59 years;Leisure;9;1507904;Soure - PA;Hotel or flat;Tourist package;Couple without children;-48,51601266;-,7259255;17,1111111111111
18465;France;Over 60 years;Other reasons;32;1600303;Macapa - AP;House of friends and relatives;No;Family group;-51,05740546;,03895101;14,421875
28067;Spain;32-40 years;Other reasons;72;1702208;Araguatins - TO;House of friends and relatives;No;Alone;-48,12350734;-5,650586473;15,6805555555556
48684;Switzerland;41-50 years;Other reasons;15;1708304;Goianorte - TO;House of friends and relatives;No;Couple without children;-48,93689019;-8,770520805;209,266666666667
28568;Spain;41-50 years;Leisure;42;1709500;Gurupi - TO;House of friends and relatives;No;Family group;-49,07147747;-11,72977232;53,1666666666667
28467;Spain;Over 60 years;Other reasons;59;1716604;Peixe - TO;House of friends and relatives;Separate services;Alone;-48,53781063;-12,02977383;46,271186440678
28603;Portugal;41-50 years;Other reasons;30;1721000;Palmas - TO;House of friends and relatives;No;Alone;-48,35104371;-10,16325333;49,6333333333333
15264;Portugal;41-50 years;Other reasons;16;2101707;Barreirinhas - MA;Hotel or flat;Separate services;Family group;-42,82780251;-2,750085949;137,958333333333
17913;Switzerland;32-40 years;Other reasons;34;2103307;Codo - MA;House of friends and relatives;No;Family group;-43,88608024;-4,4513375;13,5735294117647
21008;Canada;25-31 years;Other reasons;20;2105302;Imperatriz - MA;House of friends and relatives;No;Alone;-47,47981081;-5,526524025;14,95
37286;Argentina;25-31 years;Other reasons;45;2105302;Imperatriz - MA;House of friends and relatives;No;Couple without children;-47,47981081;-5,526524025;12,4
18760;France;41-50 years;Business and events;7;2110609;Sao Bernardo - MA;House of friends and relatives;Separate services;Alone;-42,42300966;-3,36543651;184,714285714286
33178;Bulgaria;41-50 years;Business and events;4;2111300;Sao Luis - MA;Hotel or flat;Tourist package;Alone;-44,29791856;-2,531885985;12,5
19640;Philippines;51-59 years;Other reasons;2;2111300;Sao Luis - MA;Hotel or flat;No;Co-workers;-44,29791856;-2,531885985;195
23832;Spain;32-40 years;Other reasons;25;2111300;Sao Luis - MA;House of friends and relatives;No;Family group;-44,29791856;-2,531885985;65,12
26924;Portugal;41-50 years;Other reasons;11;2200301;Alto Longa - PI;House of friends and relatives;No;Couple without children;-42,21032196;-5,250993011;73,6818181818182
39671;Germany;32-40 years;Other reasons;30;2207702;Parnaiba - PI;Posada;No;Couple without children;-41,77817059;-2,903360145;52,3166666666667
20172;Bolivia;25-31 years;Other reasons;25;2208007;Picos - PI;House of friends and relatives;No;Alone;-41,46882671;-7,081373912;19,68
41087;Portugal;51-59 years;Other reasons;21;2211001;Teresina - PI;House of friends and relatives;Separate services;Alone;-42,80527046;-5,086341952;22,4285714285714
26865;Germany;32-40 years;Leisure;21;2301109;Aracati - CE;Posada;No;Couple without children;-37,7727526;-4,56706647;23,6428571428571
23434;Uruguay;51-59 years;Leisure;9;2301109;Aracati - CE;Hotel or flat;No;Couple without children;-37,7727526;-4,56706647;76,5
41181;Italy;32-40 years;Other reasons;38;2302602;Camocim - CE;House of friends and relatives;No;Couple with children;-40,84752774;-2,900966575;33,0394736842105
22797;Argentina;32-40 years;Leisure;14;2303709;Caucaia - CE;Posada;No;Friends;-38,66401754;-3,736487;67,3571428571429
25177;Argentina;32-40 years;Leisure;12;2303709;Caucaia - CE;Hotel or flat;No;Couple without children;-38,66401754;-3,736487;125
26909;Italy;32-40 years;Leisure;14;2303709;Caucaia - CE;Rented property;No;Friends;-38,66401754;-3,736487;93
28492;United States;41-50 years;Leisure;8;2303709;Caucaia - CE;Own property;Separate services;Alone;-38,66401754;-3,736487;250
15557;Portugal;32-40 years;Leisure;9;2303709;Caucaia - CE;Hotel or flat;Tourist package;Couple with children;-38,66401754;-3,736487;25,2962962962963
